de,en,frequency
Beschaffungsprozess,The procurement process,2
Einstieg und Grundlagen,Introduction and basics,2
Ausschreibung und Vergabeverfahren,Calls for tenders and awarding contracts,2
Externe Dienstleistungen und Waren,External goods and services,2
"SRM - Shops, Nutzung und Support","SRM—shops, usage and support",2
Produktkategorien,Product categories,2
Geschäftspartneranlage,Setting up a business partner,2
SRM Klickanleitung Shop-Bestellung,SRM click-through instructions on placing shop orders,2
SRM Klick-Anleitung Freitextbestellung,SRM click-through instructions on placing freeform orders,2
SRM Kurzanleitung Genehmigung,SRM quick guide on approval,2
SRM-Nutzung,Using SRM,2
Angebotsabfrage,Requesting quotes,2
Leistungsbeschreibung,Service descriptions,2
Gibt es nur eine Lieferant*in?,Is there only one supplier?,2
Alleinstellung,Unique selling proposition,2
Lieferung und Abnahme,Delivery and acceptance,2
Reklamation und Gewährleistung,Complaints and warranties,2
Vertragsbedingungen (AGB),Terms and conditions of contract (GTCBs),2
E-Mail an die Beschaffung,Email Acquisitions (Purchasing),2
E-Mail an Sachgebiet Zoll,Email the Customs Unit,2
Online Berufungsportal,Online appointment portal,2
Kontaktdaten,Contact details,2
Anlage 1 zum Antrag auf Professurvertretung,Annex 1 to the request for an interim professorship,2
Interkulturelle Trainings,Intercultural training,2
International Staff Week an der Universität Bonn,International Staff Week at the University of Bonn,2
Zertifikat Interkulturelle Kompetenz,Certificate of Intercultural Competence,2
Oder:,Or:,2
Anschrift *,Address *,2
Anfrage Veranstaltungstechnik,Event equipment inquiry,2
Veranstaltungstechnik,Event equipment,2
E-Learning & Campusmanagement,E-learning and campus management,2
Lehrbeauftragung und Titellehre,Teaching under contract and by virtue of one’s title,2
Qualitätsmanagement & Systemakkreditierung,Quality management and system accreditation,2
Forschungssemester,Semester-long research sabbaticals,2
Lehrverpflichtung,Teaching duties,2
Studiengangsplanung & -verwaltung,Course planning and management,2
Dienstreisen,Business trips,2
Reisekostenstelle,Travel Expenses Department,2
Ticketsystem,Ticket system,2
Dienstvereinbarung Mobile Arbeit/alternierende Telearbeit,Civil Service Staff Council Agreement on Mobile Working/Alternating Telework,2
Dienstvereinbarung Bildschirmarbeitsplatz,Civil Service Staff Council Agreement on Computer Workstations,2
Dienstvereinbarung flexible Arbeitszeit Verwaltung,Civil Service Staff Council Agreement on Flexible Working Hours for Administrative Staff,2
Dienstvereinbarung flexible Arbeitszeit HRZ,Civil Service Staff Council Agreement on Flexible Working Hours for University IT,2
Dienstvereinbarung gleitende Arbeitszeit Botanischer Garten,Civil Service Staff Council Agreement on Flextime for the Botanic Garden,2
Dienstvereinbarung Gleitzeit ULB,Civil Service Staff Council Agreement on Flextime for the USL,2
Dienstvereinbarung Parkflächennutzung,Civil Service Staff Council Agreement on the Use of Parking Spaces,2
Dienstvereinbarung Sucht,Civil Service Staff Council Agreement on Addiction,2
Dienstvereinbarung SAP,Civil Service Staff Council Agreement on SAP,2
Dienstvereinbarung HISinOne,Civil Service Staff Council Agreement on HISinOne,2
Unfallanzeige für Angestellte,Accident report for salaried employees,2
Wegeunfallbogen für Angestellte,Form for salaried employees suffering an accident going to or from work,2
An- und Abwesenheitsmeldung/Krankmeldung,"Presence and absence reporting, calling in sick",2
Erasmus Kooperationsprojekte (KA 2),Erasmus Cooperation Projects (Key Action 2),2
Erasmus-Mobilität Europa (Key Action 131),Erasmus European Mobility (Key Action 131),2
Erasmus-Mobilitätsprojekte weltweit (Key Action 171),Erasmus Mobility Projects Worldwide (Key Action 171),2
Erasmus Mundus Masterstudiengänge,Erasmus Mundus master’s degree programs,2
Erasmus Hochschulcharta (ECHE),Erasmus Charter for Higher Education (ECHE) (in German),2
Erasmus Charter for Higher Education (ECHE),Erasmus Charter for Higher Education (ECHE) (in English),2
Erasmus Erklärung zur Hochschulpolitik,Erasmus Policy Statement (in German),2
Erasmus Policy Statement,Erasmus Policy Statement (in English),2
Manual Mobility-Online,Mobility-Online manual,2
Internationaler Chor,International Choir,2
Wohnen in Bonn,Living in Bonn,2
Zur Webseite,To the web page,2
Prozessberatung,Process consulting,2
ISAP - Internationale Studien- und Ausbildungspartnerschaften,ISAP—International Study and Training Partnerships,2
Vorlage Student Exchange Agreement,Student Exchange Agreement template,2
Appendix 1_Safeguarding Good Research Practice,Appendix 1 Safeguarding Good Research Practice,2
Muster-Visumsbrief,Visa letter template,2
Intensivkurs Deutsch vor Semesterbeginn,Intensive pre-semester German course,2
Study-Buddy-Programm,Study Buddy Program,2
Semesterbegleitende Deutschkurse,In-semester German language courses,2
Make it in Germany - Praktikanten aus dem Ausland,Make it in Germany—Interns from abroad,2
Anmeldung von Externen,Reporting external parties,2
Versicherungen für Studierende,Insurance for students,2
Versicherungen für Praktikant*innen,Insurance for interns and trainees,2
Wohnungssuche in Bonn,Finding accommodation in Bonn,2
Vorlage Zulassung Erasmus-Praktikant*innen,Form for admitting Erasmus trainees,2
Parlamentarisches Patenschafts-Programm,Congress-Bundestag Youth Exchange,2
Erasmus Europa Incomings-Studium,Erasmus European exchange program for incoming students,2
Erasmus-Mobilität weltweit,Erasmus mobility worldwide,2
Institutsaustausch,Institute exchange,2
Visiting Students Programm,Visiting Students Program,2
Internationale Praktikant*innen,International interns,2
Webseite der Welcome Days,Welcome Days web page,2
Zur Webseite des Studierendenwerks,To the Studierendenwerk website,2
Flyer Wohnen,Accommodation flyer,2
Organisatorisches,Organizational matters,2
Kosten und Finanzierung für internationale Studierende,Costs and financing for international students,2
Psychologische Beratung,Psychological counseling,2
Workshops und Coachings,Workshops and coaching,2
Handbuch Beratung internationaler Studierender,Handbook for advising international students,2
Anleitung zur Einschreibung für Visiting Students (PDF),Enrollment instructions for visiting students (PDF),2
Evangelische Theologie,Faculty of Protestant Theology,2
Katholische Theologie,Faculty of Catholic Theology,2
Mathematik und Naturwissenschaften,Faculty of Mathematics and Natural Sciences,2
RSF:,Faculty of Law and Economics:,2
Rechtsswissenschaften,Law,2
Wirtschaftswissenschaften,Economics,2
Studieren ohne Abitur,Studying without the Abitur,2
Wintersemester 1. Juli,Winter semester: July 1,2
Bonner Hochschultage (BHT),University of Bonn Days,2
Anmeldung BHT,Registration for the University of Bonn Days,2
Planungsübersicht BHT,Overview of planning for the University of Bonn Days,2
Muster für das Anschreiben an Studierende,Template for the letter to students,2
Muster für das Schreiben zur Vorlage bei der Vertrauensärztin*dem Vertrauensarzt,Template for the letter to be presented to the medical examiner,2
Nowy Styl (Besucherstühle),Nowy Styl (visitor chairs),2
Ansprechpartner Uni,Contact person at the University,2
Bedienungsanleitungen,Operating instructions,2
Remotedesktopverbindung zu einem cRM-Projekt einrichten,Setting up a remote-desktop connection to a cRM project,2
Datenbankverbindung einrichten,Setting up a database connection,2
Remotedesktopverbindung zu einem cRM-Projekt bearbeiten,Modifying a remote-desktop connection to a cRM project,2
Email Einstellungen konfigurieren,Configuring email settings,2
Absenden,Submit,2
Amtliche Bekanntmachungen | Katalog der ULB,Official Announcements | USL catalogue,2
Termin 1:,Session 1:,2
Zoom-Meeting beitreten,Join Zoom meeting,2
10:00 Uhr,10 am,2
Das Studium an der Uni Bonn (ZSB),Studying at the University of Bonn (Central Study Advisory and Counseling Service),2
Lehramt an der Uni Bonn (BZL),Teaching degrees at the University of Bonn (Bonn Center for Teacher Education),2
Deutsch als Zweit- und Fremdsprache (DaZ/DaF),German as a Second and Foreign Language,2
Asienwissenschaften,Asian Studies,2
English Studies/Keltologie,English Studies/Celtic Studies,2
13:00 Uhr,1 pm,2
Politik und Gesellschaft,Politics and Society,2
Katholische Theologie,Catholic Theology,2
"Romanistik (Französisch, Italienisch, Spanisch)","Romance Studies (French, Italian, Spanish)",2
Sprache und Kommunikation in der globalisierten Mediengesellschaft,Language and Communication in the Global Media Society,2
Geschichte,History,2
Archäologien,Archaeologies,2
Evangelische Theologie (inkl. Alt-Katholische Theologie),Protestant Theology (including Old Catholic Theology),2
Klassische Philologie (Griechisch und Latein),Classical Philology (Greek and Latin),2
"Germanistik, Komparatistik, Skandinavistik","German Language and Literature, Comparative Literature and Scandinavian Studies",2
Ernährungs- und Lebensmittelwissenschaften,Nutrition and Food Sciences,2
Hebammenwissenschaft,Midwifery,2
Geowissenschaften,Geosciences,2
Human- und Zahnmedizin,Human Medicine and Dentistry,2
Informatik und Cyber Security,Computer Science and Cyber Security,2
Agrarwissenschaften,Agricultural Sciences,2
Pharmazie,Pharmacy,2
Lebensmittelchemie,Food Chemistry,2
Molekulare Biomedizin,Molecular Biomedicine,2
Anmeldeformular,Registration form,2
Website BHT,Website of the University of Bonn Days,2
Programm,Program,2
Marketing Bonner Hochschultage,Marketing for the University of Bonn Days,2
Fotodienstleistungen,Photographic services,2
Videoerstellung / Video beauftragen,Shooting/commissioning a video,2
Druckerei der Universität Bonn,Printing Services at the University of Bonn,2
Karriereentwicklung,Career development,2
Führung und Zusammenarbeit,Leadership and working together,2
Ausbildung,Apprenticeships,2
Aktuelle Veranstaltungen,Upcoming events,2
Hier abonnieren,Subscribe here,2
Fahrdienst & KFZ-Angelegenheiten,Transport services and cars,2
Fahrrad & Co.,Bikes et al.,2
Raumvergabe der zentral verwalteten Räume,Allocation of centrally managed rooms,2
Fachschaft Informatik,Student Body Computer Science,2
Aufbau einer Stellenanzeige,Structure of a job description,2
Stellentitel,Job title,2
Stellenportale,Job portals,2
Vorlage Tätigkeitsdarstellung,Job description template,2
Muster Ausschreibung Wissenschaftliche Mitarbeitende,Specimen job posting for academic staff,2
Muster,Specimen,2
Antrag für wissenschaftliche Beschäftigte,Request for academic staff,2
Antrag für nichtwissenschaftliche Beschäftigte,Request for non-academic staff,2
Antrag für Beamte,Request for civil servants,2
Antrag für SHK´s und WHF´s,Request for student and graduate student assistants,2
Antrag für WHK´s,Request for research assistants,2
Antrag für Lehrkräfte für besondere Aufgaben,Request for lecturers with special responsibilities,2
"Stellenangebote für Studierende, Promovierende und Praktikant*innen","Vacancies for students, doctoral candidates and interns",2
Corporate Design Manual der Universität Bonn,University of Bonn Corporate Design Manual,2
Webversion 1 (mit Schriftzug),Web version 1 (with lettering),2
Webversion 2 (ohne Schriftzug),Web version 2 (without lettering),2
Universitätslogo (eps-Datei),University logo (EPS file),2
Universitätslogo (JPG-Datei),University logo (JPG file),2
Universitätslogo Graustufen (eps-Datei),"University logo, grayscale (EPS file)",2
Universitätslogo Invers (eps-Datei),"University logo, inverted (EPS file)",2
PowerPoint-Vorlage (pptx),PowerPoint template (PPTX file),2
Guidelines und Musterlayouts für PowerPoint (pptx),Guidelines and sample layouts for PowerPoint (PPTX files),2
Leitfaden Korrespondenz,Correspondence Guide,2
Anleitung Office-Vorlagen,Instructions for office templates,2
Worddokument für Briefe (dotm),MS Word document for letters (DOTM file),2
"Wordvorlage für Briefe (dotm, ohne Adressfelder)","MS Word template for letters (DOTM file, without address fields)",2
Dokumentvorlagen für Word (Mac),Document templates for MS Word (Mac),2
Wordvorlage für Kurzbrief,MS Word template for short letters,2
"""Exo 2"" Schrift",The Exo 2 font,2
Beratung Beschaffung,Advice on procurement,2
Festnetzanschluss,Landlines,2
conjectFM - Meldeportal Dezernat 4 - Liegenschaften,conjectFM—the reporting portal for Division 4—Facilities Management,2
Hinweis:,N.B.:,2
Bedienungsanleitung Telefone Uni Bonn,Operating manual for University of Bonn phones,2
Unify CP200T Bedienungsanleitung,Unify CP200T operating manual,2
1 (Ansage ändern),1 (Modify greeting),2
Telefonbuch Suche,Search the phone book,2
Auslandspraktikum (SMP),Traineeship (internship) abroad (SMP),2
Incomings-Praktikum (SMP),Traineeship (internship) for incoming students (SMP),2
Antrags-/Meldeformular BIP,BIP application and reporting form,2
Bitte beachten Sie:,Please note that,2
Formular BIP-Angaben,BIP information form,2
BIP-Implementation Guide,BIP implementation guide,2
Atlantic Language School Galway,"Atlantic Language School, Galway",2
English for the Educationale Workplace,English for the Educational Workplace,2
OLS Sprachtest- und Online-Kurse,OLS language test and online courses,2
Berücksichtigung des beruflichen Werdegangs/des Arbeitsgebiets der Bewerber*innen,Consideration of the applicant’s career to date and/or area of work,2
